Sample Number,Fo,Fm,FvFm,DATE,Species,Abrev_Population_name,Population Name,Population,Treatment Condition,Condition_Key
KCBN1663,0.799,3.749,0.787,1.22,KC,BN,Benut,Southern,Recovery 8 days,F
KCBN1601,1.055,3.931,0.732,1.22,KC,BN,Benut,Southern,Recovery 8 days,F
KOFT1757,0.72,3.42,0.789,1.22,KO,FT,Futian,Southern,Recovery 8 days,F
KOFT62,0.608,3.418,0.822,1.22,KO,FT,Futian,Southern,Recovery 8 days,F
KOFT1117,0.687,3.758,0.817,1.22,KO,FT,Futian,Southern,Recovery 8 days,F
KCKT2666,0.911,3.899,0.766,1.22,KC,KT,Kuantan,Northern,Recovery 8 days,F
KCKT2695,0.766,3.076,0.751,1.22,KC,KT,Kuantan,Northern,Recovery 8 days,F
KCKT2692,0.679,3.215,0.789,1.22,KC,KT,Kuantan,Northern,Recovery 8 days,F
KOYX1917,0.74,3.228,0.771,1.22,KO,YX,Yunxiao,Northern,Recovery 8 days,F
KOYX1844,0.571,2.803,0.796,1.22,KO,YX,Yunxiao,Northern,Recovery 8 days,F
KOYX453,0.64,2.968,0.784,1.22,KO,YX,Yunxiao,Northern,Recovery 8 days,F
