id,viral_load,virus,family,day
151Fx77M_M_1,-11.21524078,M,151Fx77M,25/08/16
151Fx77M_M_2,-11.55330504,M,151Fx77M,01/09/16
153Fx103M_I_1,-0.041272248,I,153Fx103M,23/08/16
153Fx239M_I_1,0.447142493,I,153Fx239M,02/09/16
153Fx239M_M_1,-11.85359642,M,153Fx239M,01/09/16
153Fx44M_I_1,-0.31068113,I,153Fx44M,23/08/16
153Fx44M_I_2,-0.573170358,I,153Fx44M,02/09/16
155Fx16M_I_1,-2.905508295,I,155Fx16M,15/09/16
157Fx99M_I_1,-2.502475994,I,157Fx99M,23/08/16
158Fx11M_I_2,0.200124833,I,158Fx11M,02/09/16
158Fx151M_M_1,-10.91527945,M,158Fx151M,16/08/16
158Fx151M_M_2,-11.18826667,M,158Fx151M,25/08/16
158Fx151M_O_1,-10.98388059,O,158Fx151M,17/08/16
158Fx151M_O_2,-9.174781204,O,158Fx151M,24/08/16
158Fx155M_I_1,0.327309132,I,158Fx155M,02/09/16
158Fx155M_M_1,-8.490043117,M,158Fx155M,16/08/16
158Fx155M_M_2,-12.39271688,M,158Fx155M,25/08/16
158Fx155M_O_1,-12.17442329,O,158Fx155M,17/08/16
158Fx155M_O_2,-10.72049139,O,158Fx155M,24/08/16
158Fx228M_I_1,-0.697549447,I,158Fx228M,18/08/16
158Fx228M_I_2,-1.113749573,I,158Fx228M,18/08/16
158Fx228M_M_1,-10.87639404,M,158Fx228M,01/09/16
158Fx55M_M_1,-12.1532441,M,158Fx55M,13/09/16
158Fx55M_O_1,-11.04571339,O,158Fx55M,07/09/16
158Fx55M_O_2,-11.69006298,O,158Fx55M,07/09/16
158Fx60M_O_1,-11.56143915,O,158Fx60M,07/09/16
158Fx60M_O_2,-11.50069378,O,158Fx60M,14/09/16
158Fx7M_O_1,-11.19263521,O,158Fx7M,07/09/16
159Fx158M_I_1,-0.122925871,I,159Fx158M,09/08/16
159Fx158M_I_2,0.86966713,I,159Fx158M,09/08/16
159Fx158M_O_1,-10.88172875,O,159Fx158M,17/08/16
159Fx173M_M_1,-11.04221778,M,159Fx173M,01/09/16
159Fx173M_M_2,-11.02120488,M,159Fx173M,01/09/16
159Fx173M_O_1,-11.36701141,O,159Fx173M,31/08/16
161Fx159M_I_1,0.592704382,I,161Fx159M,09/08/16
161Fx159M_I_2,1.177989209,I,161Fx159M,18/08/16
161Fx193M_I_1,-0.083114978,I,161Fx193M,18/08/16
161Fx193M_O_1,-10.6526955,O,161Fx193M,17/08/16
161Fx48M_O_1,-12.68450043,O,161Fx48M,14/09/16
161Fx64M_O_1,-11.77801731,O,161Fx64M,14/09/16
161Fx7M_M_1,-11.92872355,M,161Fx7M,01/09/16
161Fx7M_M_2,-11.03921276,M,161Fx7M,06/09/16
165Fx16M_M_2,-10.37012817,M,165Fx16M,01/09/16
166Fx152M_M_1,-10.08006055,M,166Fx152M,06/09/16
168Fx221M_I_1,0.939606285,I,168Fx221M,18/08/16
168Fx221M_I_2,1.261309346,I,168Fx221M,18/08/16
168Fx221M_M_1,-12.22644998,M,168Fx221M,01/09/16
168Fx258M_I_1,-0.105515126,I,168Fx258M,18/08/16
168Fx258M_I_2,0.892912901,I,168Fx258M,18/08/16
168Fx258M_M_1,-11.49603507,M,168Fx258M,01/09/16
169Fx104M_M_1,-13.04730529,M,169Fx104M,13/09/16
169Fx104M_M_2,-6.865973131,M,169Fx104M,20/09/16
169Fx11M_I_1,-1.085335967,I,169Fx11M,23/08/16
169Fx11M_M_1,-9.32048837,M,169Fx11M,25/08/16
169Fx11M_M_1,-9.32048837,M,169Fx11M,01/09/16
169Fx11M_M_2,-10.92482425,M,169Fx11M,06/09/16
169Fx32M_M_1,-9.873181092,M,169Fx32M,25/08/16
169Fx32M_M_2,-6.817521974,M,169Fx32M,01/09/16
169Fx32M_O_1,-9.578632318,O,169Fx32M,24/08/16
169Fx32M_O_2,-9.889769494,O,169Fx32M,07/09/16
16Fx106M_I_1,-1.575751979,I,16Fx106M,23/08/16
16Fx106M_M_1,-11.22515069,M,16Fx106M,11/08/16
16Fx106M_M_2,-10.26375405,M,16Fx106M,16/08/16
16Fx112M_O_1,-11.40523634,O,16Fx112M,10/08/16
16Fx112M_O_2,-11.38873348,O,16Fx112M,17/08/16
16Fx114M_I_1,-2.352200274,I,16Fx114M,18/08/16
16Fx114M_I_2,-0.251534751,I,16Fx114M,18/08/16
16Fx141M_O_1,-12.78659092,O,16Fx141M,31/08/16
16Fx141M_O_2,-11.13626132,O,16Fx141M,07/09/16
16Fx161M_I_1,-1.465826593,I,16Fx161M,02/09/16
16Fx161M_I_2,-0.625147589,I,16Fx161M,15/09/16
16Fx161M_O_2,-9.85413431,O,16Fx161M,07/09/16
