id,viral_load,virus,family,day
A2_11_4_A,-5.59505467,A,A2_11,5
A2_3_4_A,-3.93080795,A,A2_3,5
A2_3_4_O,-6.32792184,O,A2_3,5
A2_16_4_A,-5.15810467,A,A2_16,5
A2_12_4_A,-6.53110795,A,A2_12,5
A2_7_4_A,-5.62185467,A,A2_7,5
A2_7_4_O,-8.57030795,O,A2_7,5
A3_1_1_A,-6.10026453,A,A3_1,4
A3_1_1_M,-6.30775337,M,A3_1,4
A3_5_1_A,-5.55292184,A,A3_5,4
A3_22_1_A,-5.2906651,A,A3_22,4
A3_22_1_M,-8.83630337,M,A3_22,4
A3_15_1_A,-5.52352184,A,A3_15,4
A3_10_1_A,-4.54247184,A,A3_10,4
A3_10_1_M,-4.75070337,M,A3_10,4
A3_11_1_A,-7.86181453,A,A3_11,4
A3_23_1_A,-5.5343651,A,A3_23,4
A3_23_1_M,-5.1358151,M,A3_23,4
A3_18_1_A,-6.79237184,A,A3_18,4
A3_5_1_M,-5.95281128,M,A3_5,4
A3_11_1_M,-7.26156128,M,A3_11,4
A3_19_1_A,-4.99752184,A,A3_19,4
A3_15_1_M,-6.5221151,M,A3_15,4
A3_2_1_A,-4.92996453,A,A3_2,4
A3_18_1_M,-8.28310337,M,A3_18,4
A3_2_1_M,-6.24640337,M,A3_2,4
A3_19_1_M,-6.69201128,M,A3_19,4
A3_1_2_A,-5.03112184,A,A3_1,5
A3_5_2_A,-3.83819544,A,A3_5,5
A3_11_2_A,-6.29070795,A,A3_11,5
A3_10_2_O,-5.59912184,O,A3_10,5
A3_10_2_A,-4.90217421,A,A3_10,5
A3_19_2_O,-6.78839544,O,A3_19,5
A3_18_2_A,-5.43538367,A,A3_18,5
A3_18_2_O,-8.56777184,O,A3_18,5
A3_15_2_A,-3.69290467,A,A3_15,5
A3_11_2_O,-8.26732184,O,A3_11,5
A3_1_2_O,-7.85514544,O,A3_1,5
A3_22_2_A,-4.07095467,A,A3_22,5
A3_2_2_O,-7.08609544,O,A3_2,5
A3_19_2_A,-4.27527421,A,A3_19,5
A3_22_2_O,-8.33594544,O,A3_22,5
A3_2_2_A,-4.76108367,A,A3_2,5
A3_23_2_O,-6.15940467,O,A3_23,5
A3_23_2_A,-5.08610467,A,A3_23,5
A3_5_2_O,-7.66559544,O,A3_5,5
A3_15_3_O,-7.75994544,O,A3_15,6
A3_15_5_M,-6.33491314,M,A3_15,8
A3_19_5_M,-6.13314382,M,A3_19,8
A3_18_5_A,-3.42681683,A,A3_18,8
A3_22_5_M,-6.88684382,M,A3_22,8
A3_18_5_O,-8.78226697,O,A3_18,8
A3_15_5_O,-7.44061697,O,A3_15,8
A3_2_5_M,-5.60294382,M,A3_2,8
A3_18_5_M,-8.31241314,M,A3_18,8
A3_5_5_O,-6.75540564,O,A3_5,8
A3_1_5_M,-8.35846314,M,A3_1,8
A3_19_5_O,-8.61139382,O,A3_19,8
A3_10_5_M,-6.32335502,M,A3_10,8
A3_10_5_O,-6.68741697,O,A3_10,8
A3_22_5_O,-7.36834382,O,A3_22,8
A3_23_5_M,-6.94720502,M,A3_23,8
A3_23_5_O,-6.12670564,O,A3_23,8
A3_2_5_O,-7.54115564,O,A3_2,8
A3_11_5_M,-7.72721314,M,A3_11,8
A3_11_5_O,-8.17040564,O,A3_11,8
A3_1_5_O,-6.45921697,O,A3_1,8
A3_5_5_M,-5.33291314,M,A3_5,8
A4_14_1_A,-5.61204151,A,A4_14,7
A4_14_1_M,-6.77051683,M,A4_14,7
A4_26_1_A,-2.95541683,A,A4_26,7
A4_16_1_A,-4.91164151,A,A4_16,7
A4_24_1_A,-5.1093773,A,A4_24,7
A4_24_1_M,-6.63004847,M,A4_24,7
A4_2_1_M,-6.27508335,M,A4_2,7
A4_26_1_M,-9.21924847,M,A4_26,7
A4_15_1_A,-5.6220273,A,A4_15,7
A4_15_1_M,-6.62964847,M,A4_15,7
A4_8_1_A,-3.88169175,A,A4_8,7
A4_8_1_M,-5.84971683,M,A4_8,7
A4_18_1_M,-5.19419847,M,A4_18,7
A4_20_1_M,-6.38789847,M,A4_20,7
A4_2_1_A,-4.89876683,A,A4_2,7
A4_5_1_M,-4.99363335,M,A4_5,7
A4_18_1_A,-7.09094151,A,A4_18,7
A4_16_1_M,-7.62008335,M,A4_16,7
A4_5_1_A,-3.09624151,A,A4_5,7
A4_20_1_A,-3.15659151,A,A4_20,7
A4_14_2_A,-3.99024175,A,A4_14,8
A4_14_2_O,-7.64625346,O,A4_14,8
A4_24_2_A,-5.20542421,A,A4_24,8
A4_24_2_O,-8.42225346,O,A4_24,8
A4_2_2_O,-7.82105341,O,A4_2,8
A4_5_2_O,-9.46146212,O,A4_5,8
A4_18_2_O,-7.11586212,O,A4_18,8
A4_20_2_O,-7.82051212,O,A4_20,8
A4_2_2_A,-6.43194175,A,A4_2,8
A4_15_2_A,-6.32337421,A,A4_15,8
A4_26_2_O,-6.39670341,O,A4_26,8
A4_16_2_O,-7.23876212,O,A4_16,8
A4_16_2_A,-6.26102421,A,A4_16,8
A4_5_2_A,-7.21932421,A,A4_5,8
A4_26_2_A,-5.11770341,A,A4_26,8
A4_20_2_A,-5.39119175,A,A4_20,8
A4_8_2_O,-7.82500346,O,A4_8,8
A4_18_2_A,-7.84804175,A,A4_18,8
A4_8_2_A,-5.53375341,A,A4_8,8
A4_15_2_O,-9.22041212,O,A4_15,8
A4_16_3_O,-7.93174876,O,A4_16,9
A4_2_3_M,-4.37964579,M,A4_2,9
A4_18_3_O,-10.70781453,O,A4_18,9
A4_20_3_M,-4.57149579,M,A4_20,9
A4_26_3_O,-9.12139876,O,A4_26,9
A4_18_3_M,-5.41941453,M,A4_18,9
A4_16_3_M,-6.64112772,M,A4_16,9
A4_2_3_O,-7.76669579,O,A4_2,9
A4_24_3_O,-8.46713913,O,A4_24,9
A4_15_3_O,-8.44838913,O,A4_15,9
A4_8_3_O,-7.97113913,O,A4_8,9
A4_5_3_M,-4.63471453,M,A4_5,9
A4_26_3_M,-5.44082772,M,A4_26,9
A4_14_3_M,-5.96901453,M,A4_14,9
A4_14_3_O,-7.60959876,O,A4_14,9
A4_24_3_M,-7.01806453,M,A4_24,9
A4_5_3_O,-6.79218913,O,A4_5,9
A4_8_3_M,-5.82827772,M,A4_8,9
A4_20_3_O,-5.71434579,O,A4_20,9
A4_15_3_M,-5.47412772,M,A4_15,9
A4_15_4_M,-5.0130728,M,A4_15,10
A4_14_4_A,-5.86440878,A,A4_14,10
A4_2_4_M,-5.1277228,M,A4_2,10
A4_16_4_M,-5.03115731,M,A4_16,10
A4_14_4_M,-5.56705731,M,A4_14,10
A4_2_4_A,-6.68317387,A,A4_2,10
A4_16_4_A,-5.13742387,A,A4_16,10
A4_15_4_A,-6.53525878,A,A4_15,10
A4_8_4_A,-4.70370878,A,A4_8,10
A4_8_4_M,-5.22419295,M,A4_8,10
A5_10_1_A,-4.150623,A,A5_10,10
A5_10_1_M,-6.1179728,M,A5_10,10
A5_7_1_M,-5.69819295,M,A5_7,10
A5_15_1_M,-4.9359228,M,A5_15,10
A5_23_1_M,-5.56035731,M,A5_23,10
A5_20_1_A,-4.724073,A,A5_20,10
A5_15_1_A,-4.839423,A,A5_15,10
A5_9_1_A,-5.33850878,A,A5_9,10
A5_2_1_A,-5.55546346,A,A5_2,10
A5_3_1_A,-5.55961346,A,A5_3,10
A5_3_1_M,-6.17059295,M,A5_3,10
A5_20_1_M,-3.936823,M,A5_20,10
A5_8_1_A,-5.87147387,A,A5_8,10
A5_2_1_M,-5.73435731,M,A5_2,10
A5_9_1_M,-6.04420731,M,A5_9,10
A5_22_1_A,-6.43346346,A,A5_22,10
A5_22_1_M,-6.89484295,M,A5_22,10
A5_10_4_O,-8.21643843,O,A5_10,13
A5_2_4_A,-6.02767881,A,A5_2,13
A5_10_4_A,-4.53607881,A,A5_10,13
A5_15_4_A,-5.70627176,A,A5_15,13
A5_7_4_O,-7.81806103,O,A5_7,13
A5_23_4_A,-6.72762582,A,A5_23,13
A5_22_4_O,-7.56188843,O,A5_22,13
A5_7_4_A,-4.12037582,A,A5_7,13
A5_20_4_O,-6.59947387,O,A5_20,13
A5_15_4_O,-7.30533843,O,A5_15,13
A5_8_4_O,-8.33428843,O,A5_8,13
A5_2_4_O,-9.99341103,O,A5_2,13
A5_20_4_A,-5.88792176,A,A5_20,13
A5_8_4_A,-6.05062582,A,A5_8,13
A5_22_4_A,-7.33502582,A,A5_22,13
A5_23_4_O,-7.44987387,O,A5_23,13
A5_3_4_A,-5.79142881,A,A5_3,13
A5_3_4_O,-10.11666103,O,A5_3,13
A5_9_4_A,-4.91222881,A,A5_9,13
A5_9_4_O,-7.80633843,O,A5_9,13
